psraid,sample,lang,state,cregion,usr,form,sex,q1,marital,par,q2a,q2b,q2c,q2d,q2e,q2f,q2g,q2h,q2i,q2j,eminuse,intmob,home3nw,q3,act112,act107,act124,act125,act136,act135,fb1,fb2,fb3,ql1,smart1,cell1a,cell1b,cell1c,txtavg1,txtavg2,txtavg3,txtavg4,txtavg5,emlavg1,emlavg2,emlavg3,picavg1,picavg2,q4a,q4b,q4c,q4d,q4e,q4f,q4g,q4h,q4i,q4j,q4k,q4l,q5,q6,q7a,q7b,q7c,q7d,q7e,q7f,q8,q9a,q9b,q9c,q9d,q9e,q9f,q10a,q10b,q10c,q10d,q10e,q10f,q10g,q11a,q11b,q11c,q11d,q11e,sns2a,sns2b,sns2c,sns2d,sns2e,fb4,fb5,fb6,fb7,fb8a,fb8b,fb8c,fb8d,fb8e,fb9a,fb9b,fb9c,fb9d,fb9e,fb9f,fb9g,fb9h,fb10a,fb10b,fb10c,fb10d,fb10e,fb10f,fb10g,fb10h,age,hh1,live2,educ2,emplnw,hisp,birth_hisp,race,inc,ql1a,ql2hh,qc1,qc2hh,zipcode,weight,standwt
101450,1,1,27,2,R,2,2,2,5,2,1,2,1,2,2,1,1,2,2,3,1,2,1,1,2,2,2,2,2,1, , , ,2, , , , , , , , , ,5, ,5, , ,4,4,4,1,4,1,4,4,4,4,4,4,2,3,4,2,2,4, ,2,3,2,4,4,2,4, , ,2,4,5,3,3, ,4,4,1,4,2, , , , ,1,10,2, , ,7,1,1,1,6,1,1,2,2,3,2,2,2,1,1,1, ,2,3,3,3,77,1,1,5,3,2, ,1,4,2, , , ,56573,1.4375,0.469963114
101454,1,1,13,3,U,1,1,2,1,1,3,3,3,1,2,2,1,1,3,3,1,1,1,2,2,1,2,1,2,1, , , ,1,1,1,1,1,10, ,2,1, ,2, ,2,5, ,4,4,4,2,4,4,4,1,2,4,4,1,4,4,4,4,4,4, ,4,4,4,4,4,4,4, ,1,1,1,2,2,2, ,4,4,4,4,4, , ,4, ,1,200,2, , ,3,3,3,3,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,26,2,2,6,1,2, ,1,7, ,2, , ,30815,1.8125,0.592562187
101457,1,1,25,1,S,1,2,3,1,1,2,2,2,1,1,3,1,1,2,3,1,1,1,2,2,1,2,1,2,1, , , ,1,1,1,1,1,20, ,3,4, ,2, ,2,5, ,4,1,1,4,4,1,4,4,1,1,4,2,2,3,3,1,3,4, ,4,3,2,4,3,1,4, ,1,2,2,2,2,1, ,3,3,2,4,4, , ,4, ,1,63,2, , ,6,1,4,6,2,1,1,1,2,1,1,2,2,1,3,1,1,3,3,3,3,52,3,4,3,1,2, ,1,7, ,2, , ,1862,5.21875,1.706170434
101459,1,1,31,2,U,1,1,4,1,2,2,2,2,1,2,2,1,2,3,4,1,1,1,2,2,2,2,2,2,2,2, , ,1,1,1,1,1,15, ,7,1, ,12, ,6, , ,1,4,4,2,1,4,4,4,4,4,1,4,1,1,2,1,1, , ,2,1,2,1,1,1, , ,1,2,2,2,1, , ,4,4,2,4,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,60,2,5,5,1,2, ,1,7, ,2, , ,68144,2.375,0.776460796
101461,1,1,8,4,U,2,2,2,5,2,3,3,3,1,1,3,1,1,3,3,1,1,1,2,2,2,8,8,2,2,2, , ,1,2,2,2,2, , , , , ,2, ,10, , ,1,2,4,4,1,1,4,4,4,1,4,1,4,2,1,1,8, , ,8,8,1,8,1,1, , , ,1,1,5,1, , ,4,3,8,3,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,86,1,5,8,3,2, ,1,7, ,2, , ,80224,1,0.326930862
101470,1,1,42,1,U,1,2,1,1,2,3,1,3,1,2,4,1,1,3,3,1,1,1,1,1,1,2,2,1,1, , , ,1,1,1,1,2, , , , , ,50, ,30,2, ,1,4,4,4,4,1,4,4,4,4,2,1,2,2,1,3,3,4,4,2,1,2,2,2,2,4,4,1,1,3,3,8,3,3,3,4,2,3,3,4, , ,4,2,25,2, , ,6,3,3,3,7,1,1,1,2,1,2,2,2,1,1,1, ,1,3,1,3,54,2,2,8,1,2, ,1,NA, ,2, , ,19301,2.46875,0.807110565
101481,1,1,20,2,R,2,1,2,6,2,2,2,2,2,2,3,2,2,2,3,1,1,1,1,2,1,2,1,2,1, , , ,1,1,1,1,1,2, ,1,1, ,20, ,5,1, ,4,4,4,2,4,2,4,4,4,2,2,4,2,3,4,2,4,2, ,2,4,3,1,1,1,2, , ,1,1,1,2,2, ,3,2,3,2,3, , ,4, ,3,30,2, , ,5,3,5,5,5,1,1,2,2,3,3,2,1,1,1,3, ,2,2,3,2,39,1,3,8,1,2, ,1,4, ,1, , ,66801,1.125,0.367797219
101483,1,2,6,4,S,1,2,3,6,2,2,4,1,1,1,1,1,1,1,3,1,1,1,2,2,2,8,2,2,2,8, , ,1,8,1,1,1,3, ,1,1, ,9, ,0, , ,4,4,4,4,4,4,4,4,1,4,4,4,2,2,4,3,4, , ,4,9,2,2,2,3, , , ,4,2,2,2, , ,2,2,3,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,43,2,5,3,1,1,3,2,2, ,1, , ,90604,4.71875,1.542705003
101486,1,1,29,2,R,2,2,5,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2,1,2,2,2,1, , , ,1,1,2,1,1,3, ,1,0, ,1, ,1,998,2,2,4,4,2,4,4,4,4,1,4,4,4,1,1,4,1,3,2, ,4,4,1,1,1,1,2, ,1,2,1,1,1,1, ,3,2,2,2,2, , , , ,2,4,2, , ,6,2,3,7,7,3,3,3,1,3,3,3,1,3,3,3, ,3,3,3,3,64,2,2,4,2,2, ,1,3, ,2, , ,63650,2.03125,0.664078313
101488,1,1,29,2,S,2,2,4,1,1,3,4,1,1,2,4,1,2,3,2,1,1,1,2,1,1,1,1,1,2,1,1,6,1,1,1,1,1,10, ,3,0, ,100, ,30,1, ,4,2,4,1,4,1,2,1,1,4,4,1,1,1,4,2,2, ,2,1,4,2,1,1,1, ,4,1,1,1,2,2, ,4,4,4,1,2,3,1,5,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,43,2,3,6,1,2, ,1,8, ,2, , ,64015,3.125,1.021658943
